,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1429,203552,Seth Curry,Seth,1610612742.0,DAL,26.0,70,30,40,0.429,29.0,4.8,10.0,0.481,2.0,4.6,0.425,1.2,1.4,0.85,0.4,2.2,2.6,2.7,1.3,1.1,0.1,0.4,1.8,1.6,12.8,-0.5,22.3,1,0,22.5,176,227,93,975,302,320,374,454,141,219,180,760,870,310,1130,868,969,297,664,307,1107,703,862,767,343,832,477,359,39,433,1
1430,203498,Shabazz Muhammad,Shabazz,1610612750.0,MIN,24.0,78,29,49,0.372,19.4,3.7,7.7,0.482,0.6,1.9,0.338,1.9,2.4,0.774,1.1,1.7,2.8,0.4,0.7,0.3,0.1,0.6,1.1,1.8,9.9,-1.0,14.3,1,0,14.5,69,235,28,1163,801,537,596,446,701,745,590,485,514,647,501,1064,886,1275,1118,1243,1160,340,1256,685,552,899,864,359,39,825,1
1431,203894,Shabazz Napier,Shabazz,1610612757.0,POR,25.0,53,26,27,0.491,9.7,1.4,3.5,0.399,0.6,1.7,0.37,0.7,0.9,0.776,0.2,1.0,1.2,1.3,0.8,0.6,0.0,0.2,0.7,0.9,4.1,0.3,8.5,0,0,8.5,294,309,280,845,1336,1197,1206,1062,694,786,409,1058,1116,636,1370,1316,1386,722,1086,807,1231,1150,1412,1147,1158,642,1234,512,39,1216,1
1432,202197,Shane Edwards,Shane,1612709909.0,DEL,30.0,8,4,4,0.5,25.5,4.4,9.5,0.461,0.3,1.9,0.133,2.6,3.9,0.677,1.0,6.0,7.0,0.4,1.3,0.1,1.1,0.5,1.6,2.8,11.6,-3.6,23.1,1,0,21.8,914,906,913,689,496,408,422,581,1000,743,1151,291,251,1033,525,80,156,1314,691,1385,136,467,967,366,422,1364,442,359,39,460,1
1433,1627885,Shaquille Harrison,Shaquille,1612709900.0,NAS,23.0,48,20,28,0.417,27.6,3.8,8.3,0.452,0.7,2.4,0.292,1.6,2.6,0.6,0.9,3.2,4.1,1.8,1.2,1.3,0.7,0.6,2.4,2.3,9.8,-0.8,22.2,1,0,20.4,345,424,259,1001,365,527,531,651,653,621,839,594,471,1204,634,523,543,533,762,209,295,341,509,488,562,878,485,359,39,530,1
1434,1627981,Shaquille Thomas,Shaquille,1612709890.0,AUS,25.0,5,3,2,0.6,2.8,0.2,0.2,1.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.6,-0.2,1.4,0,0,1.2,1020,987,1151,443,1570,1533,1576,1,1178,1370,1178,1395,1445,1,1434,1512,1538,1423,1513,1421,1252,1310,1509,1493,1542,751,1558,512,39,1562,1
1435,2733,Shaun Livingston,Shaun,1610612744.0,GSW,31.0,76,63,13,0.829,17.7,2.3,4.2,0.547,0.0,0.0,0.333,0.6,0.8,0.7,0.4,1.6,2.0,1.8,0.8,0.5,0.3,0.1,1.6,0.8,5.1,2.0,11.7,0,0,10.5,97,4,656,107,907,906,1082,190,1175,1325,601,1180,1196,970,1114,1105,1176,519,1046,913,761,1218,1001,1220,1044,382,1029,512,39,1081,1
1436,201919,Shavonte Zellous,Shavonte,1611661313.0,NYL,30.0,33,20,13,0.606,23.3,2.8,6.8,0.403,0.2,0.8,0.192,3.1,3.7,0.851,0.5,1.9,2.5,2.2,1.3,0.9,0.2,0.4,1.9,2.6,8.8,1.0,16.9,0,0,15.7,574,424,656,436,611,765,697,1013,1092,1077,1093,216,277,309,925,986,1008,399,629,534,935,727,786,392,649,513,748,512,39,765,1
1437,1627848,Shawn Long,Shawn,1612709909.0,DEL,24.0,39,22,17,0.564,29.5,8.1,15.1,0.535,0.3,1.2,0.213,3.8,5.6,0.691,4.2,6.9,11.1,1.5,3.0,0.6,1.3,1.3,3.5,4.8,20.2,2.4,38.7,24,0,37.0,465,394,528,565,278,41,96,233,999,948,1055,144,102,1005,11,44,17,611,99,794,94,37,98,83,77,319,58,22,39,62,1
1438,1627848,Shawn Long,Shawn,1610612755.0,PHI,24.0,18,5,13,0.278,13.0,3.4,6.1,0.56,0.4,1.1,0.368,1.1,1.9,0.543,2.3,2.4,4.7,0.7,0.7,0.5,0.5,0.5,2.7,1.5,8.2,1.1,17.3,1,0,16.1,805,870,656,1335,1185,607,798,159,904,977,414,838,675,1298,147,774,434,1058,1116,913,425,467,319,806,695,505,728,359,39,749,1
1439,203015,Shekinna Stricklen,Shekinna,1611661323.0,CON,26.0,28,13,15,0.464,10.9,1.4,3.7,0.365,1.0,2.8,0.351,0.3,0.5,0.643,0.3,1.0,1.4,0.5,0.1,0.4,0.1,0.1,0.7,0.5,4.0,0.1,7.8,0,0,7.9,674,632,595,902,1285,1202,1162,1224,519,514,516,1336,1305,1130,1184,1311,1347,1185,1510,1047,1171,1252,1413,1346,1162,686,1278,512,39,1255,1
